Top,Top,United States,Mexico,United Kingdom (UK),Germany,France,Spain,Canada,Austria,Finland,Denmark
Top 1,Top 1,27609.314065453244,48011.05754500191,5681.297131452261,4968.284663228155,5681.094689972053,2216.7847383992003,1167.004209459182,579.692221180881,115.18834699342692,109.6672333127736
Top 2,Top 2,18867.07990415668,37107.878255457676,4434.071288227874,4294.108104520631,4437.790772583014,1544.5423944533538,941.8201431620155,356.6927835051547,116.33336038302362,89.8199268876085
Top 3,Top 3,15528.389266739092,32664.39012830333,3785.2387264034232,3375.958946450243,4073.5298185779925,1364.0665219345592,837.6669606241741,272.96832239925027,99.50166355595228,78.52000060174808
Top 5,Top 5,11918.50401083446,26998.348716966677,3186.845445003488,2693.5336392597087,2871.511676377244,1163.403191639613,712.1945765434057,214.75988753514528,74.31136898482512,55.19579378093361
Top 10,Top 10,7743.660797999791,17274.951168134812,1399.853795677791,1500.9549643507282,1677.2346170243002,788.118351580956,470.13280902475515,150.43823805060921,50.495090481213985,31.002361861206804
Top 50,Top 50,1293.4466387867783,3772.212514362313,276.1059311549784,277.9193719660194,300.1819904315286,118.50037714600951,70.8419301270179,22.060731021555767,5.7250669479834455,6.229446542205106
Top 100,Top 100,620.0848302650572,1318.7892569896592,124.46056208646715,128.17286104368932,132.0284685708872,47.23865119619459,30.202202185813274,8.771134020618558,2.0610241012740405,2.607675296737021
