Top,Top,Brazil,Italy,Australia,Portugal,United Arab Emirates,Romania,Sweden,Norway,New Zealand,Ireland
Top 1,Top 1,10916.729295997886,6898.8640713353625,3440.200014898689,1936.4417815264349,761.5448772056756,1468.9351505444831,1662.3969010244434,865.6712050536172,738.2580433598971,523.0591677503251
Top 2,Top 2,8051.754391758023,4227.221509351892,2468.0108946662695,1232.7128162929437,572.8982274207164,983.1261555966435,1165.7116710982737,524.1138588419859,439.95301440380143,362.2669050715214
Top 3,Top 3,7147.073041870294,2879.7494562853412,2080.2756443682956,787.3027154906397,469.68376944410954,789.1313623518208,936.6370176409453,416.150329867045,338.64187249418404,295.431566970091
Top 5,Top 5,6142.976159027869,1741.9913005654632,1449.2555311382598,459.655626414318,361.4438884199526,502.24923166350266,664.7446719486023,326.8350468059575,240.14492897094493,199.53738621586476
Top 10,Top 10,4268.993362831858,886.2621792083514,986.444092669845,290.60872248508537,257.4562884360304,289.34816619566766,422.8247108207696,220.8344910851064,137.89572093253477,96.8628088426528
Top 50,Top 50,767.3071588957865,195.25086994345367,273.6954707985697,55.082699033120754,61.07821857791712,46.85467463963936,78.14228832890173,43.18541158997637,26.265851606197103,23.24707412223667
Top 100,Top 100,317.2259278827103,83.56415832970856,125.44375744934445,21.843139271754783,25.900257245066122,18.08426038722923,32.11326917626098,17.666759286808514,10.31872741672029,9.68628088426528
