country,country_code,category,threshold_downloads,current_downloads,downloads_needed,already_achieved
United States,us,Top 1,49812.412379208734,7549.065934065934,42263.3464451428,False
United States,us,Top 2,43223.12595256304,7549.065934065934,35674.060018497104,False
United States,us,Top 3,39064.1473283376,7549.065934065934,31515.08139427167,False
United States,us,Top 5,31371.562171304467,7549.065934065934,23822.496237238534,False
United States,us,Top 10,18946.74063957961,7549.065934065934,11397.674705513677,False
United States,us,Top 50,4898.74804943914,7549.065934065934,0.0,True
United States,us,Top 100,2407.4283356610613,7549.065934065934,0.0,True
Mexico,mx,Top 1,35437.94039851878,1022.4285714285714,34415.51182709021,False
Mexico,mx,Top 2,27714.286721918532,1022.4285714285714,26691.85815048996,False
Mexico,mx,Top 3,24578.580686197947,1022.4285714285714,23556.152114769375,False
Mexico,mx,Top 5,18862.914703881903,1022.4285714285714,17840.48613245333,False
Mexico,mx,Top 10,11609.819759679573,1022.4285714285714,10587.391188251002,False
Mexico,mx,Top 50,2324.397876413834,1022.4285714285714,1301.9693049852626,False
Mexico,mx,Top 100,941.1174647958284,1022.4285714285714,0.0,True
United Kingdom (UK),gb,Top 1,19834.92630744971,2262.197802197802,17572.728505251907,False
United Kingdom (UK),gb,Top 2,16126.100897146724,2262.197802197802,13863.90309494892,False
United Kingdom (UK),gb,Top 3,13500.053375086558,2262.197802197802,11237.855572888755,False
United Kingdom (UK),gb,Top 5,8832.907305074414,2262.197802197802,6570.709502876612,False
United Kingdom (UK),gb,Top 10,5385.442074692109,2262.197802197802,3123.2442724943066,False
United Kingdom (UK),gb,Top 50,1363.695632647358,2262.197802197802,0.0,True
United Kingdom (UK),gb,Top 100,604.5065385920492,2262.197802197802,0.0,True
Germany,de,Top 1,6276.132490264228,312.61538461538464,5963.517105648843,False
Germany,de,Top 2,5060.216908839664,312.61538461538464,4747.601524224279,False
Germany,de,Top 3,4228.901637284872,312.61538461538464,3916.286252669487,False
Germany,de,Top 5,3308.2433733930748,312.61538461538464,2995.62798877769,False
Germany,de,Top 10,1974.0546878271432,312.61538461538464,1661.4393032117587,False
Germany,de,Top 50,433.9516770654496,312.61538461538464,121.33629245006495,False
Germany,de,Top 100,201.65989698923835,312.61538461538464,0.0,True
France,fr,Top 1,11832.2615023353,328.6923076923077,11503.56919464299,False
France,fr,Top 2,8716.24519392047,328.6923076923077,8387.55288622816,False
France,fr,Top 3,6287.163832477485,328.6923076923077,5958.471524785177,False
France,fr,Top 5,3976.063272520837,328.6923076923077,3647.3709648285294,False
France,fr,Top 10,2115.9360565633624,328.6923076923077,1787.2437488710548,False
France,fr,Top 50,541.3885376616004,328.6923076923077,212.6962299692927,False
France,fr,Top 100,230.44848140789097,328.6923076923077,0.0,True
Spain,es,Top 1,5690.421572815775,563.9120879120879,5126.509484903687,False
Spain,es,Top 2,3687.1774286036625,563.9120879120879,3123.2653406915747,False
Spain,es,Top 3,2423.9577770838005,563.9120879120879,1860.0456891717126,False
Spain,es,Top 5,1832.801185253839,563.9120879120879,1268.889097341751,False
Spain,es,Top 10,1248.1171108526732,563.9120879120879,684.2050229405853,False
Spain,es,Top 50,235.16813324622535,563.9120879120879,0.0,True
Spain,es,Top 100,101.40277305112473,563.9120879120879,0.0,True
Canada,ca,Top 1,5240.001154066887,1647.2967032967033,3592.704450770183,False
Canada,ca,Top 2,4336.444869147238,1647.2967032967033,2689.1481658505345,False
