country,country_code,category,threshold_downloads,current_downloads,downloads_needed,already_achieved
United States,us,Top 1,27713.35069189191,2065.131868131868,25648.218823760042,False
United States,us,Top 2,18938.174294235472,2065.131868131868,16873.042426103602,False
United States,us,Top 3,15586.902898389197,2065.131868131868,13521.771030257329,False
United States,us,Top 5,11963.414976262407,2065.131868131868,9898.28310813054,False
United States,us,Top 10,7772.840238814559,2065.131868131868,5707.708370682691,False
United States,us,Top 50,1298.3205673624318,2065.131868131868,0.0,True
United States,us,Top 100,622.4214161611658,2065.131868131868,0.0,True
Mexico,mx,Top 1,48160.78735990168,276.6043956043956,47884.18296429729,False
Mexico,mx,Top 2,37223.60484067828,276.6043956043956,36947.000445073885,False
Mexico,mx,Top 3,32766.25901721794,276.6043956043956,32489.654621613547,False
Mexico,mx,Top 5,27082.547190457954,276.6043956043956,26805.94279485356,False
Mexico,mx,Top 10,17328.825741474153,276.6043956043956,17052.22134586976,False
Mexico,mx,Top 50,3783.9767351568385,276.6043956043956,3507.372339552443,False
Mexico,mx,Top 100,1322.9021026847531,276.6043956043956,1046.2977070803574,False
United Kingdom (UK),gb,Top 1,6082.333472898499,564.0439560439561,5518.289516854543,False
United Kingdom (UK),gb,Top 2,4747.067367467997,564.0439560439561,4183.023411424041,False
United Kingdom (UK),gb,Top 3,4052.4344486502914,564.0439560439561,3488.390492606335,False
United Kingdom (UK),gb,Top 5,3411.8012620374957,564.0439560439561,2847.7573059935394,False
United Kingdom (UK),gb,Top 10,1498.6678924921127,564.0439560439561,934.6239364481567,False
United Kingdom (UK),gb,Top 50,295.5959366801242,564.0439560439561,0.0,True
United Kingdom (UK),gb,Top 100,133.24609245367404,564.0439560439561,0.0,True
Germany,de,Top 1,4992.102731916142,186.7912087912088,4805.311523124933,False
Germany,de,Top 2,4314.694155586525,186.7912087912088,4127.902946795316,False
Germany,de,Top 3,3392.143369752214,186.7912087912088,3205.352160961005,False
Germany,de,Top 5,2706.4465002533875,186.7912087912088,2519.655291462179,False
Germany,de,Top 10,1508.1505762896086,186.7912087912088,1321.3593674983997,False
Germany,de,Top 50,279.2517237010562,186.7912087912088,92.46051490984743,False
Germany,de,Top 100,128.78732462925424,186.7912087912088,0.0,True
France,fr,Top 1,5700.355108867258,202.43956043956044,5497.915548427698,False
France,fr,Top 2,4452.836061196158,202.43956043956044,4250.396500756598,False
France,fr,Top 3,4087.340165873632,202.43956043956044,3884.9006054340716,False
France,fr,Top 5,2881.2468631269257,202.43956043956044,2678.8073026873653,False
France,fr,Top 10,1682.9208875535437,202.43956043956044,1480.4813271139833,False
France,fr,Top 50,301.1996870544547,202.43956043956044,98.76012661489429,False
France,fr,Top 100,132.47608012280458,202.43956043956044,0.0,True
Spain,es,Top 1,2216.7847383992003,501.05494505494505,1715.729793344255,False
Spain,es,Top 2,1544.5423944533538,501.05494505494505,1043.487449398409,False
Spain,es,Top 3,1364.0665219345592,501.05494505494505,863.0115768796142,False
Spain,es,Top 5,1163.403191639613,501.05494505494505,662.3482465846679,False
Spain,es,Top 10,788.118351580956,501.05494505494505,287.0634065260109,False
Spain,es,Top 50,118.50037714600953,501.05494505494505,0.0,True
Spain,es,Top 100,47.23865119619459,501.05494505494505,0.0,True
Canada,ca,Top 1,1167.004209459182,410.72527472527474,756.2789347339072,False
Canada,ca,Top 2,941.8201431620156,410.72527472527474,531.0948684367409,False
Canada,ca,Top 3,837.6669606241741,410.72527472527474,426.9416858988993,False
Canada,ca,Top 5,712.1945765434057,410.72527472527474,301.46930181813093,False
Canada,ca,Top 10,470.13280902475515,410.72527472527474,59.4075342994804,False
Canada,ca,Top 50,70.8419301270179,410.72527472527474,0.0,True
Canada,ca,Top 100,30.20220218581327,410.72527472527474,0.0,True
Austria,at,Top 1,586.6644489531087,15.945054945054945,570.7193940080538,False
Austria,at,Top 2,360.9828933952645,15.945054945054945,345.03783845020956,False
