country,country_code,category,threshold_downloads,current_downloads,downloads_needed,already_achieved
United Arab Emirates,ae,Top 1,900.6654568998214,490.7397260273973,409.92573087242414,False
United Arab Emirates,ae,Top 2,705.6070522340887,490.7397260273973,214.86732620669144,False
United Arab Emirates,ae,Top 3,614.5111745933639,490.7397260273973,123.77144856596664,False
United Arab Emirates,ae,Top 5,530.1059546324664,490.7397260273973,39.366228605069125,False
United Arab Emirates,ae,Top 10,430.5180883981146,490.7397260273973,0.0,True
United Arab Emirates,ae,Top 20,291.3695727348375,490.7397260273973,0.0,True
United Arab Emirates,ae,Top 50,90.3238786776678,490.7397260273973,0.0,True
United Arab Emirates,ae,Top 100,34.48262034987888,490.7397260273973,0.0,True
Austria,at,Top 1,579.692221180881,15.755555555555556,563.9366656253254,False
Austria,at,Top 2,356.6927835051547,15.755555555555556,340.93722794959916,False
Austria,at,Top 3,272.96832239925027,15.755555555555556,257.21276684369474,False
Austria,at,Top 5,214.75988753514528,15.755555555555556,199.00433197958972,False
Austria,at,Top 10,150.4382380506092,15.755555555555556,134.68268249505363,False
Austria,at,Top 20,93.09442065390549,15.755555555555556,77.33886509834993,False
Austria,at,Top 50,22.060731021555767,15.755555555555556,6.305175466000211,False
Austria,at,Top 100,8.771134020618558,15.755555555555556,0.0,True
Australia,au,Top 1,1019.3018584891825,205.76923076923077,813.5326277199517,False
Australia,au,Top 2,805.2593003197218,205.76923076923077,599.490069550491,False
Australia,au,Top 3,687.1892657019524,205.76923076923077,481.4200349327217,False
Australia,au,Top 5,488.9615929033123,205.76923076923077,283.1923621340815,False
Australia,au,Top 10,332.32923505258356,205.76923076923077,126.56000428335278,False
Australia,au,Top 20,214.45324253653442,205.76923076923077,8.684011767303645,False
Australia,au,Top 50,57.626842584085544,205.76923076923077,0.0,True
Australia,au,Top 100,24.26393371961497,205.76923076923077,0.0,True
Brazil,br,Top 1,43758.20297353756,87.29885057471265,43670.90412296285,False
Brazil,br,Top 2,36817.359200169114,87.29885057471265,36730.0603495944,False
Brazil,br,Top 3,33845.96732079416,87.29885057471265,33758.66847021945,False
Brazil,br,Top 5,27334.40329453408,87.29885057471265,27247.104443959368,False
Brazil,br,Top 10,17140.39506746918,87.29885057471265,17053.096216894468,False
Brazil,br,Top 20,9992.036095855903,87.29885057471265,9904.73724528119,False
Brazil,br,Top 50,1979.4908281295704,87.29885057471265,1892.191977554858,False
Brazil,br,Top 100,915.221957249702,87.29885057471265,827.9231066749893,False
Canada,ca,Top 1,1167.004209459182,410.72527472527474,756.2789347339072,False
Canada,ca,Top 2,941.8201431620156,410.72527472527474,531.0948684367409,False
Canada,ca,Top 3,837.6669606241741,410.72527472527474,426.9416858988993,False
Canada,ca,Top 5,712.1945765434057,410.72527472527474,301.46930181813093,False
Canada,ca,Top 10,470.13280902475515,410.72527472527474,59.4075342994804,False
Canada,ca,Top 20,292.91257483596377,410.72527472527474,0.0,True
Canada,ca,Top 50,70.8419301270179,410.72527472527474,0.0,True
Canada,ca,Top 100,30.20220218581327,410.72527472527474,0.0,True
Germany,de,Top 1,4968.284663228155,185.9,4782.384663228156,False
Germany,de,Top 2,4294.108104520631,185.9,4108.208104520631,False
Germany,de,Top 3,3375.958946450243,185.9,3190.0589464502427,False
Germany,de,Top 5,2693.5336392597087,185.9,2507.6336392597086,False
Germany,de,Top 10,1500.9549643507282,185.9,1315.054964350728,False
Germany,de,Top 20,984.5900692975624,185.9,798.6900692975624,False
Germany,de,Top 50,277.9193719660194,185.9,92.0193719660194,False
Germany,de,Top 100,128.17286104368932,185.9,0.0,True
Denmark,dk,Top 1,109.6672333127736,19.454545454545453,90.21268785822816,False
Denmark,dk,Top 2,89.8199268876085,19.454545454545453,70.36538143306305,False
Denmark,dk,Top 3,78.52000060174808,19.454545454545453,59.06545514720263,False
Denmark,dk,Top 5,55.19579378093361,19.454545454545453,35.74124832638816,False
Denmark,dk,Top 10,31.002361861206804,19.454545454545453,11.547816406661353,False
Denmark,dk,Top 20,20.756706843429328,19.454545454545453,1.3021613888838743,False
Denmark,dk,Top 50,6.229446542205106,19.454545454545453,0.0,True
Denmark,dk,Top 100,2.607675296737021,19.454545454545453,0.0,True
Spain,es,Top 1,2216.7847383992003,501.05494505494505,1715.729793344255,False
Spain,es,Top 2,1544.5423944533538,501.05494505494505,1043.487449398409,False
Spain,es,Top 3,1364.0665219345592,501.05494505494505,863.0115768796142,False
