country_code,apptweak_downloads,actual_downloads,adjustment_factor,difference,difference_pct
pt,108.02222222222223,103.4065934065934,0.9572714880264767,-4.615628815628824,-4.272851197352336
us,5939.0888888888885,7549.065934065934,1.2710814866214686,1609.9770451770455,27.108148662146853
dk,58.13333333333333,51.472527472527474,0.8854219175320093,-6.6608058608058585,-11.457808246799068
ie,68.35555555555555,1165.2747252747254,17.047257034253136,1096.9191697191698,1604.7257034253134
it,255.44444444444446,374.95604395604397,1.4678575013503243,119.51159951159951,46.78575013503243
gb,1272.3555555555556,2262.197802197802,1.7779604076236741,989.8422466422464,77.79604076236741
no,49.65555555555556,48.73626373626374,0.9814866270449174,-0.9192918192918214,-1.8513372955082552
fi,23.322222222222223,22.01098901098901,0.9437775183368323,-1.311233211233212,-5.622248166316774
au,596.6222222222223,842.4175824175824,1.4119782184442493,245.7953601953601,41.19782184442492
es,522.7444444444444,563.9120879120879,1.078752904799199,41.16764346764353,7.875290479919905
nz,100.88888888888889,918.3296703296703,9.102386600183957,817.4407814407814,810.2386600183956
fr,298.1,328.6923076923077,1.1026243129564162,30.592307692307656,10.262431295641615
se,95.72222222222223,178.21978021978023,1.861843322087083,82.497557997558,86.1843322087083
de,367.4,312.61538461538464,0.8508856413048032,-54.784615384615336,-14.911435869519691
ca,1053.7666666666667,1647.2967032967033,1.563246167681052,593.5300366300366,56.32461676810521
ro,40.37777777777778,33.7032967032967,0.8346991478526975,-6.674481074481079,-16.530085214730246
br,168.24444444444444,1590.3076923076924,9.452363776759498,1422.0632478632479,845.2363776759498
at,38.0,30.142857142857142,0.793233082706767,-7.857142857142858,-20.67669172932331
ae,829.3,1128.3736263736264,1.360633819333928,299.07362637362644,36.0633819333928
mx,252.04444444444445,1022.4285714285714,4.056540796533743,770.384126984127,305.6540796533743
