Top,Top,Brazil,Italy,Australia,Romania,United Arab Emirates,Portugal,Sweden,Ireland,Norway,New Zealand
Top 1,Top 1,43758.20297353756,11028.325181758097,1019.3018584891823,1173.872930653662,900.6654568998214,704.1007639240472,444.63045073208076,228.86005743817327,196.26838480337702,174.57448568749658
Top 2,Top 2,36817.359200169114,4529.490699650647,805.2593003197218,797.2128337743566,705.6070522340887,585.2098563057272,392.99243995023767,223.24385970962916,173.58942457231726,155.25585164380598
Top 3,Top 3,33845.96732079416,3792.921725993768,687.1892657019524,738.7743770092068,614.5111745933639,401.1761909869533,350.0513573000734,134.2622269480081,132.4705620973117,123.92196959733224
Top 5,Top 5,27334.40329453408,3153.9599660088757,488.96159290331235,555.2929341526888,530.1059546324664,338.82833708222853,282.6501642795624,93.89580577409717,93.47122861586314,96.82876331654667
Top 10,Top 10,17140.39506746918,1482.5976772731565,332.32923505258356,388.1436364183087,430.5180883981146,229.82708904879587,174.48212064180677,48.264199229676116,54.25994223505887,57.48471593488416
Top 50,Top 50,1979.4908281295704,219.72372769332452,57.626842584085544,36.74732652481029,90.3238786776678,28.59401575630482,23.644773358001853,7.722271876748178,10.173739169073539,8.245758433282564
Top 100,Top 100,915.2219572497019,91.58738551600416,24.26393371961497,14.035437214337263,34.48262034987888,11.824592981930564,10.327602156368625,3.159111222306073,4.451010886469673,3.062710275219238
