Top,Top,United States,United Kingdom (UK),France,Mexico,Germany,Spain,Canada,Austria,Denmark,Finland
Top 1,Top 1,44956.84452016727,10195.980935525438,11832.261502335301,10089.776053606065,6276.132490264228,5690.421572815775,3273.7998646743813,595.3208160851567,646.8134556574923,517.1900800485842
Top 2,Top 2,39009.86240803001,8289.489699284306,8716.24519392047,7890.722298332949,5060.216908839664,3687.1774286036625,2709.284255550935,450.1774098166766,361.1961009174312,390.7238925914486
Top 3,Top 3,35256.288821819915,6939.591542080015,6287.163832477485,6997.934192857046,4228.901637284872,2423.9577770838005,2280.525860386241,382.6507983441751,306.70909785932724,302.00880586778635
Top 5,Top 5,28313.554303560908,4540.483442783289,3976.0632725208366,5370.5882153466355,3308.2433733930748,1832.801185253839,1833.2107237451712,278.6442933175636,224.09977064220183,216.1250516991346
Top 10,Top 10,17099.867932777393,2768.342260102774,2115.9360565633624,3305.510424155284,1974.0546878271434,1248.1171108526732,1112.4278179785563,152.12891780011827,129.1869266055046,112.30952468208305
Top 50,Top 50,4421.232457595873,700.9965379659386,541.3885376616004,661.7950639556176,433.9516770654496,235.16813324622538,291.04783999790146,34.92755765819042,39.54701834862385,17.931772848399813
Top 100,Top 100,2172.7592824822477,310.7416204803378,230.44848140789097,267.9519281635311,201.65989698923835,101.40277305112471,128.92051973061407,14.747191011235955,17.57645259938838,6.606442628357827
